antecedents,consequents
ATTA NOODLES YUMMY MASALA |||||| ATTA NOODLES CHATPATAA 60G,ATTA NOODLES DESI MASALA
ATTA NOODLES CHATPATAA 60G |||||| ATTA NOODLES DESI MASALA,ATT  NOODLES ( CLASSIC )
NARIYAL  BISCUIT 100GM |||||| MARIE  BISCUIT 100 GM,AAROGYA  BISCUIT 100GM
ATTA NOODLES DESI MASALA |||||| ATT  NOODLES ( CLASSIC ),ATTA NOODLES CHATPATAA 60G
DOODH BISCUIT 100GM |||||| AAROGYA  BISCUIT 100GM,NARIYAL  BISCUIT 100GM
MARIE  BISCUIT 100 GM |||||| AAROGYA  BISCUIT 100GM,NARIYAL  BISCUIT 100GM
MANCHURIAN NOODLES,SCHEZWAN NOODLES
NAMKEEN  BISCUIT 80GM |||||| NARIYAL  BISCUIT 100GM,DOODH BISCUIT 100GM
ATTA NOODLES YUMMY MASALA |||||| ATT  NOODLES ( CLASSIC ),ATTA NOODLES DESI MASALA
ATTA NOODLES YUMMY MASALA |||||| ATTA NOODLES DESI MASALA,ATTA NOODLES CHATPATAA 60G
NAMKEEN  BISCUIT 80GM |||||| DOODH BISCUIT 100GM,NARIYAL  BISCUIT 100GM
ATTA NOODLES CHATPATAA 60G |||||| ATT  NOODLES ( CLASSIC ),ATTA NOODLES DESI MASALA
ATTA NOODLES CHATPATAA 60G,ATT  NOODLES ( CLASSIC )
ATTA NOODLES YUMMY MASALA,ATTA NOODLES DESI MASALA
ATTA NOODLES CHATPATAA 60G |||||| ATTA NOODLES DESI MASALA,ATTA NOODLES YUMMY MASALA
ATT  NOODLES ( CLASSIC ),ATTA NOODLES CHATPATAA 60G
NARIYAL  BISCUIT 100GM |||||| AAROGYA  BISCUIT 100GM,DOODH BISCUIT 100GM
ATTA NOODLES YUMMY MASALA |||||| ATTA NOODLES DESI MASALA,ATT  NOODLES ( CLASSIC )
CREAM FEST CHOCOLATE 84GM,CREAM FEST ORANGE
CREAM FEST ORANGE,CREAM FEST CHOCOLATE 84GM
BUTTER COOKIES 75G,CASHEW COOKIES 66G
AAROGYA  BISCUIT 100GM,NARIYAL  BISCUIT 100GM
ATTA NOODLES DESI MASALA,ATT  NOODLES ( CLASSIC )
SHATAVAR  CHURAN 100GRM,ASHWAGANDHA  CHURNA-100GM
DOODH BISCUIT 100GM |||||| NARIYAL  BISCUIT 100GM,AAROGYA  BISCUIT 100GM
ALOEVERA (WITH FIBER),AMLA JUICE  1 LT 130/-
ATTA NOODLES DESI MASALA,ATTA NOODLES CHATPATAA 60G
SCHEZWAN NOODLES,MANCHURIAN NOODLES
NARIYAL  BISCUIT 100GM,DOODH BISCUIT 100GM
ATTA NOODLES DESI MASALA |||||| ATT  NOODLES ( CLASSIC ),ATTA NOODLES YUMMY MASALA
CREAM FEAST ELAICHI 84G,CREAM FEST ORANGE
MANCHURIAN NOODLES,ATTA NOODLES CHATPATAA 60G
ATTA NOODLES YUMMY MASALA,ATT  NOODLES ( CLASSIC )
ATTA NOODLES DESI MASALA,ATTA NOODLES YUMMY MASALA
NARIYAL  BISCUIT 100GM,AAROGYA  BISCUIT 100GM
SCHEZWAN NOODLES,ATTA NOODLES CHATPATAA 60G
CREAM FEAST ELAICHI 84G,CREAM FEST CHOCOLATE 84GM
